date,house_price_idx,house_price_idx_pct,kr_cpi,kr_unemployment,kr_base_rate,kr_mortgage_rate,kospi200,apt_trade_count,kr_m2
2023-12,98.5578888087322,-0.1479272741290116,112.73,2.8,3.5,4.16,342.24105031866776,26934.0,3746423.1
2024-01,98.3599195508383,-0.2008659685051594,113.17,2.8,3.5,3.99,338.91954317959875,32111.0,3737309.3
2024-02,98.1512624440442,-0.2121363129889975,113.78,2.7,3.5,3.96,353.9900030838816,33333.0,3762578.7
2024-03,97.9767121041568,-0.1778380996239503,113.95,2.8,3.5,3.94,364.8779998779297,40233.0,3804693.0
2024-04,97.9021922902369,-0.0760587003988066,114.01,2.8,3.5,3.93,364.6804780505952,44119.0,3808175.6
2024-05,97.8770590937844,-0.0256717401975969,114.1,2.8,3.5,3.91,369.02999420166014,43278.0,3809788.1
2024-06,97.9149062951534,0.0386681023310409,113.84,2.8,3.5,3.71,375.2984217593544,43300.0,3811231.6
2024-07,98.1181029602333,0.2075237292955112,114.13,2.7,3.5,3.5,386.2056539784307,54732.0,3823839.5
2024-08,98.4384323606263,0.326473291603313,114.54,2.6,3.5,3.51,360.2990461077009,47916.0,3834303.6
2024-09,98.6640232635691,0.2291695403238147,114.65,2.6,3.5,3.74,346.7066667344835,39362.0,3850412.1
2024-10,98.7451440381646,0.0822192040342617,114.69,2.8,3.25,4.05,345.3505004882812,42914.0,3857079.5
2024-11,98.74275647916,-0.0024179001690272,114.4,2.8,3.0,4.3,331.9828563871838,36399.0,3877862.7
2024-12,98.6305165148818,-0.1136690611851398,114.91,3.1,3.0,4.25,323.8595001220703,34355.0,3900070.9
2025-01,98.4783824442997,-0.1542464502445883,115.71,2.8,3.0,4.27,332.4255540635851,29784.0,3923921.4
2025-02,98.3883390744178,-0.0914346556543321,116.08,2.8,2.75,4.23,341.3700012207031,39925.0,3930083.5
2025-03,98.3914811541526,0.0031935489148038,116.29,2.8,2.75,4.17,344.35999908447263,53460.0,3914432.4
2025-04,98.3371288169396,-0.0552408974592522,116.38,2.7,2.75,3.98,328.0277266068892,50693.0,3930054.0
2025-05,98.3053349096171,-0.0323315391704048,116.27,2.7,2.5,3.87,348.6426295230263,48783.0,3955598.2
2025-06,98.475890990321,0.1734962612768731,116.31,2.7,2.5,3.93,395.73684371145146,58892.0,3975331.0
2025-07,98.6229761871386,0.1493616308910095,116.52,2.7,2.5,3.96,427.7986954398777,49940.0,3994033.3
2025-08,98.6606866561568,0.0382370016360544,116.45,2.8,2.5,3.96,430.1075027465821,34868.0,4038516.1
2025-09,98.743226761869,0.0836605830647263,117.06,2.7,2.5,3.96,458.2431807084517,49665.0,4059768.7
2025-10,99.0778805772913,0.3389131856399219,117.42,2.7,2.5,3.98,532.772230360243,56363.0,4057900.5
2025-11,99.3498933471846,0.2745443971029493,117.2,2.8,2.5,4.17,566.0369995117187,49139.0,4062260.6
2025-12,99.6561891527607,0.3083000849389172,117.57,3.3,2.5,4.23,579.3133341471354,48978.0,4081265.9
2026-01,100.0,0.3449969842939548,118.03,3.0,2.5,4.29,700.6899966285342,48877.0,4113407.1
2026-02,100.278612318969,0.2786123189689959,118.4,2.9,2.5,4.32,824.4200080422794,45483.0,4113983.8
2026-03,100.439616671216,0.1605570206086204,118.8,,2.5,4.34,820.9709559849331,56604.0,
2026-04,,,119.37,,2.5,,909.2659163041548,,
2026-05,,,,,,,1139.0740234375,,
