class,feature_kr,feature_value,shap_value
인하,WTI 유가 3개월평균,71.9767,0.005585418
인하,WTI 유가 3개월평균,85.4033,-0.003793989
인하,WTI 유가 3개월평균,86.6872,-0.0003768971
동결,WTI 유가 YoY,-22.3069,0.033782203
동결,WTI 유가 YoY,-14.5418,0.037890017
동결,WTI 유가 YoY,-16.3936,0.0407022
동결,WTI 유가 YoY,-15.4147,0.04222369
동결,WTI 유가 YoY,-8.9408,0.049211558
동결,WTI 유가 YoY,-15.4188,0.0411695
동결,WTI 유가 YoY,-14.1387,0.049407054
동결,WTI 유가 YoY,-17.3274,0.04137238
동결,WTI 유가 YoY,-20.7288,0.016487526
동결,WTI 유가 YoY,-9.8141,0.04279657
동결,WTI 유가 YoY,33.9097,0.006822553
동결,WTI 유가 YoY,57.8848,0.0027949582
동결,WTI 유가 YoY,9.9589,0.020356588
동결,미국 연방기금금리 6개월모멘텀,-0.31,-0.059861172
동결,미국 연방기금금리 6개월모멘텀,-0.15,-0.042489756
동결,미국 연방기금금리 6개월모멘텀,0.0,-0.01975926
동결,미국 연방기금금리 6개월모멘텀,0.0,-0.020712463
동결,미국 연방기금금리 6개월모멘텀,-0.11,-0.041211724
동결,미국 연방기금금리 6개월모멘텀,-0.24,-0.038452085
동결,미국 연방기금금리 6개월모멘텀,-0.45,-0.04832985
동결,미국 연방기금금리 6개월모멘텀,-0.61,0.05335484
동결,미국 연방기금금리 6개월모멘텀,-0.69,0.030801024
동결,미국 연방기금금리 6개월모멘텀,-0.69,0.058706455
동결,미국 연방기금금리 6개월모멘텀,-0.58,0.033327274
동결,미국 연방기금금리 6개월모멘텀,-0.45,-0.03679534
동결,미국 연방기금금리 6개월모멘텀,-2.0681,0.031180244
동결,한국 소비자물가지수 YoY,1.9018,-5.262991e-05
동결,한국 소비자물가지수 YoY,2.1697,0.039865334
동결,한국 소비자물가지수 YoY,2.0941,0.029033775
동결,한국 소비자물가지수 YoY,1.6675,-0.0040360917
동결,한국 소비자물가지수 YoY,2.102,0.017518556
동결,한국 소비자물가지수 YoY,2.3803,0.019962491
동결,한국 소비자물가지수 YoY,2.4476,0.015364361
동결,한국 소비자물가지수 YoY,2.3149,0.013561587
동결,한국 소비자물가지수 YoY,2.005,0.0060590114
동결,한국 소비자물가지수 YoY,1.9986,0.00010231373
동결,한국 소비자물가지수 YoY,2.1584,0.021617504
동결,한국 소비자물가지수 YoY,2.5692,0.023266982
동결,한국 소비자물가지수 YoY,-10.9121,0.037495352
동결,원/달러 환율 YoY,1.9579,0.0013709487
동결,원/달러 환율 YoY,-1.042,0.3119324
동결,원/달러 환율 YoY,-0.199,-0.00094466156
동결,원/달러 환율 YoY,2.7793,0.042037886
동결,원/달러 환율 YoY,4.675,0.08047482
동결,원/달러 환율 YoY,4.4562,0.09249946
동결,원/달러 환율 YoY,4.6494,0.047439244
동결,원/달러 환율 YoY,1.7611,0.051490758
동결,원/달러 환율 YoY,0.2279,0.008997183
동결,원/달러 환율 YoY,0.173,-0.035882615
동결,원/달러 환율 YoY,2.2059,0.034870096
동결,원/달러 환율 YoY,3.0574,0.042964928
동결,원/달러 환율 YoY,-13.5549,0.3257527
동결,kr_cpi_change_lag2,0.1809,0.08555835
동결,kr_cpi_change_lag2,0.0774,0.060606077
동결,kr_cpi_change_lag2,-0.0945,0.084196135
동결,kr_cpi_change_lag2,0.0344,0.118564874
동결,kr_cpi_change_lag2,0.1806,0.09299839
동결,kr_cpi_change_lag2,-0.0601,0.0793241
동결,kr_cpi_change_lag2,0.5238,-0.040182028
동결,kr_cpi_change_lag2,0.3075,-0.022101182
동결,kr_cpi_change_lag2,-0.1874,0.06290544
동결,kr_cpi_change_lag2,0.3157,-0.04034098
동결,kr_cpi_change_lag2,0.3913,-0.032763816
동결,kr_cpi_change_lag2,0.3135,-0.05695793
